title,price_text,has_coupon,is_limited_time_deal,product_url
Unisex Cadet Army Cap Adjustable Flat Top Cap Washed Cotton Military Hat Baseball Cap,$12.99 $ 12 . 99,False,False,/sspa/click?ie=UTF8&spc=MTo2MTc5ODg0NjY3NTk2MDE5OjE3NTkyNzU4NTM6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDA4MzA1MDkzMTc5ODo6Mzo6&url=%2FYeeHeen-Unisex-Adjustable-Military-Baseball%2Fdp%2FB0B52Y57MW%2Fref%3Dsxin_16_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.9359d6d7-ab2c-4962-841a-fb8fd109d2a3%253Aamzn1.sym.9359d6d7-ab2c-4962-841a-fb8fd109d2a3%26crid%3D3UD0HZDEGZ2PT%26cv_ct_cx%3Dhats%26keywords%3Dhats%26pd_rd_i%3DB0B52Y57MW%26pd_rd_r%3De0e8bbe9-6c5f-41b0-9609-d41d2b6b0ac9%26pd_rd_w%3DDzONl%26pd_rd_wg%3D49qH2%26pf_rd_p%3D9359d6d7-ab2c-4962-841a-fb8fd109d2a3%26pf_rd_r%3D4PGPHAE6W0F4SWA31Z25%26qid%3D1759275853%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dha%252Caps%252C230%26sr%3D1-4-183302c6-8dec-4386-8e58-6031e7be5ad8-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=5AXAeY6reV
"Sun Hat | UPF 50+ Sun Protection | Wide Brim | Lifeguard Hat | Beach, Gardening, Fishing, Hiking, Outdoors",$34.99 $ 34 . 99,False,False,/sspa/click?ie=UTF8&spc=MTo2MTc5ODg0NjY3NTk2MDE5OjE3NTkyNzU4NTM6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDM2NzU5MTYzODUwMjo6NDo6&url=%2FFARMERS-DEFENSE-Protection-Lifeguard-Lightweight%2Fdp%2FB0CCZVW36D%2Fref%3Dsxin_16_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.9359d6d7-ab2c-4962-841a-fb8fd109d2a3%253Aamzn1.sym.9359d6d7-ab2c-4962-841a-fb8fd109d2a3%26crid%3D3UD0HZDEGZ2PT%26cv_ct_cx%3Dhats%26keywords%3Dhats%26pd_rd_i%3DB0CCZVW36D%26pd_rd_r%3De0e8bbe9-6c5f-41b0-9609-d41d2b6b0ac9%26pd_rd_w%3DDzONl%26pd_rd_wg%3D49qH2%26pf_rd_p%3D9359d6d7-ab2c-4962-841a-fb8fd109d2a3%26pf_rd_r%3D4PGPHAE6W0F4SWA31Z25%26qid%3D1759275853%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dha%252Caps%252C230%26sr%3D1-5-183302c6-8dec-4386-8e58-6031e7be5ad8-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=yWhn6dLhN8
Men's Golf Cap,$26.71 $ 26 . 71,False,False,/Nike-Golf-Dri-Fit-Swoosh-Front/dp/B00CBMSNW2/ref=sr_1_8?crid=3UD0HZDEGZ2PT&dib=eyJ2IjoiMSJ9.rsRuWNAZIB5bJy_6apC1D6fViCnWRiArbSkeDUxcunNRpYfEX2q__cT3x02aZFhXWIjPAUUVfrLxdpUcTZNh-4bj9A7jW-CNxDjtRnLzIaK3U623ZVoeyq_65dpvZm51SWudK4FhdhwOYxZijWk0NGFE6FJ3LByZBfMExzE-Hv2Jv7Z_iVka4NBH5ElG7tXe_OEM84M5WyNsPNZ9jrWR6_Lj-LfvyIlDgth2lKRf6GuqlJquu8l601mCKr85IFgqZT1gqLj5dY90tqHvwKv7wL6ihdmwWBX-fg9aM3K-qiQ.62hhOMs03pOBJCAqa00pasq8FWHYmegpC4b8FWCUn7M&dib_tag=se&keywords=hats&qid=1759275853&sprefix=ha%2Caps%2C230&sr=8-8
47 Atlanta Braves Ballpark Clean Up Dad Hat Baseball Cap,$34.00 $ 34 . 00,False,False,/47-York-Yankees-Clean-Baseball/dp/B0754CB1W7/ref=sr_1_9?crid=3UD0HZDEGZ2PT&dib=eyJ2IjoiMSJ9.rsRuWNAZIB5bJy_6apC1D6fViCnWRiArbSkeDUxcunNRpYfEX2q__cT3x02aZFhXWIjPAUUVfrLxdpUcTZNh-4bj9A7jW-CNxDjtRnLzIaK3U623ZVoeyq_65dpvZm51SWudK4FhdhwOYxZijWk0NGFE6FJ3LByZBfMExzE-Hv2Jv7Z_iVka4NBH5ElG7tXe_OEM84M5WyNsPNZ9jrWR6_Lj-LfvyIlDgth2lKRf6GuqlJquu8l601mCKr85IFgqZT1gqLj5dY90tqHvwKv7wL6ihdmwWBX-fg9aM3K-qiQ.62hhOMs03pOBJCAqa00pasq8FWHYmegpC4b8FWCUn7M&dib_tag=se&keywords=hats&qid=1759275853&sprefix=ha%2Caps%2C230&sr=8-9
Authentic Fishing & Hunting Mesh Back Trucker Hat - The Ultimate Accessory for Outdoor Activies,$16.24 $ 16 . 24,False,False,/Authentic-Fishing-Hunting-Mesh-Trucker/dp/B0DND75M7M/ref=sr_1_10?crid=3UD0HZDEGZ2PT&dib=eyJ2IjoiMSJ9.rsRuWNAZIB5bJy_6apC1D6fViCnWRiArbSkeDUxcunNRpYfEX2q__cT3x02aZFhXWIjPAUUVfrLxdpUcTZNh-4bj9A7jW-CNxDjtRnLzIaK3U623ZVoeyq_65dpvZm51SWudK4FhdhwOYxZijWk0NGFE6FJ3LByZBfMExzE-Hv2Jv7Z_iVka4NBH5ElG7tXe_OEM84M5WyNsPNZ9jrWR6_Lj-LfvyIlDgth2lKRf6GuqlJquu8l601mCKr85IFgqZT1gqLj5dY90tqHvwKv7wL6ihdmwWBX-fg9aM3K-qiQ.62hhOMs03pOBJCAqa00pasq8FWHYmegpC4b8FWCUn7M&dib_tag=se&keywords=hats&qid=1759275853&sprefix=ha%2Caps%2C230&sr=8-10
Custom Hats Add Photos/Logo/Text to Design Your Personalized Baseball Cap for Men & Women Adjustable,,False,False,/sspa/click?ie=UTF8&spc=MTo1Njg2OTUwOTg5MDk3NDU5OjE3NTkyNzU4NTM6c3BfbXRmOjIwMDA3MTc2NTY4MDQ5ODo6MDo6&url=%2FPersonalized-Customize-Baseball-Adjustable-Trucker%2Fdp%2FB0B1TL9MWZ%2Fref%3Dsr_1_11_sspa%3Fcrid%3D3UD0HZDEGZ2PT%26dib%3DeyJ2IjoiMSJ9.rsRuWNAZIB5bJy_6apC1D6fViCnWRiArbSkeDUxcunNRpYfEX2q__cT3x02aZFhXWIjPAUUVfrLxdpUcTZNh-4bj9A7jW-CNxDjtRnLzIaK3U623ZVoeyq_65dpvZm51SWudK4FhdhwOYxZijWk0NGFE6FJ3LByZBfMExzE-Hv2Jv7Z_iVka4NBH5ElG7tXe_OEM84M5WyNsPNZ9jrWR6_Lj-LfvyIlDgth2lKRf6GuqlJquu8l601mCKr85IFgqZT1gqLj5dY90tqHvwKv7wL6ihdmwWBX-fg9aM3K-qiQ.62hhOMs03pOBJCAqa00pasq8FWHYmegpC4b8FWCUn7M%26dib_tag%3Dse%26keywords%3Dhats%26qid%3D1759275853%26sprefix%3Dha%252Caps%252C230%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"Fashion Beanie for Men Beanies Women,Warm Winter Hats for Men Embroidery Unisex Knit Hat Skull Cap",$8.99 $ 8 . 99,False,False,/sspa/click?ie=UTF8&spc=MTo1Njg2OTUwOTg5MDk3NDU5OjE3NTkyNzU4NTM6c3BfbXRmOjMwMDk2NjIyODU4MzYwMjo6MDo6&url=%2FCSXYZWK-Beanie-Fashion-Embroidery-Knitted%2Fdp%2FB0DDP9WS3B%2Fref%3Dsr_1_12_sspa%3Fcrid%3D3UD0HZDEGZ2PT%26dib%3DeyJ2IjoiMSJ9.rsRuWNAZIB5bJy_6apC1D6fViCnWRiArbSkeDUxcunNRpYfEX2q__cT3x02aZFhXWIjPAUUVfrLxdpUcTZNh-4bj9A7jW-CNxDjtRnLzIaK3U623ZVoeyq_65dpvZm51SWudK4FhdhwOYxZijWk0NGFE6FJ3LByZBfMExzE-Hv2Jv7Z_iVka4NBH5ElG7tXe_OEM84M5WyNsPNZ9jrWR6_Lj-LfvyIlDgth2lKRf6GuqlJquu8l601mCKr85IFgqZT1gqLj5dY90tqHvwKv7wL6ihdmwWBX-fg9aM3K-qiQ.62hhOMs03pOBJCAqa00pasq8FWHYmegpC4b8FWCUn7M%26dib_tag%3Dse%26keywords%3Dhats%26qid%3D1759275853%26sprefix%3Dha%252Caps%252C230%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"Sun Hat for Men Women with Neck Flap,UPF 50+ UV Protective Hiking Fishing Hats,Wide Brim Sun Hat for Women&Men",$12.99 $ 12 . 99,False,False,/sspa/click?ie=UTF8&spc=MTo1Njg2OTUwOTg5MDk3NDU5OjE3NTkyNzU4NTM6c3BfbXRmOjMwMDEyMjc4NDIyNjcwMjo6MDo6&url=%2FWomens-Protective-Hiking-Fishing-Women%2Fdp%2FB0C49FP9ZM%2Fref%3Dsr_1_13_sspa%3Fcrid%3D3UD0HZDEGZ2PT%26dib%3DeyJ2IjoiMSJ9.rsRuWNAZIB5bJy_6apC1D6fViCnWRiArbSkeDUxcunNRpYfEX2q__cT3x02aZFhXWIjPAUUVfrLxdpUcTZNh-4bj9A7jW-CNxDjtRnLzIaK3U623ZVoeyq_65dpvZm51SWudK4FhdhwOYxZijWk0NGFE6FJ3LByZBfMExzE-Hv2Jv7Z_iVka4NBH5ElG7tXe_OEM84M5WyNsPNZ9jrWR6_Lj-LfvyIlDgth2lKRf6GuqlJquu8l601mCKr85IFgqZT1gqLj5dY90tqHvwKv7wL6ihdmwWBX-fg9aM3K-qiQ.62hhOMs03pOBJCAqa00pasq8FWHYmegpC4b8FWCUn7M%26dib_tag%3Dse%26keywords%3Dhats%26qid%3D1759275853%26sprefix%3Dha%252Caps%252C230%26sr%3D8-13-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
Custom Leather Patch Trucker Hat - Personalized Baseball Caps - Adjustable Custom Hats for Men & Women,,False,False,/sspa/click?ie=UTF8&spc=MTo1Njg2OTUwOTg5MDk3NDU5OjE3NTkyNzU4NTM6c3BfbXRmOjMwMDM2NjczMzQyOTEwMjo6MDo6&url=%2FCustom-Leather-Patch-Trucker-Hat%2Fdp%2FB0DCNBHD9D%2Fref%3Dsr_1_14_sspa%3Fcrid%3D3UD0HZDEGZ2PT%26dib%3DeyJ2IjoiMSJ9.rsRuWNAZIB5bJy_6apC1D6fViCnWRiArbSkeDUxcunNRpYfEX2q__cT3x02aZFhXWIjPAUUVfrLxdpUcTZNh-4bj9A7jW-CNxDjtRnLzIaK3U623ZVoeyq_65dpvZm51SWudK4FhdhwOYxZijWk0NGFE6FJ3LByZBfMExzE-Hv2Jv7Z_iVka4NBH5ElG7tXe_OEM84M5WyNsPNZ9jrWR6_Lj-LfvyIlDgth2lKRf6GuqlJquu8l601mCKr85IFgqZT1gqLj5dY90tqHvwKv7wL6ihdmwWBX-fg9aM3K-qiQ.62hhOMs03pOBJCAqa00pasq8FWHYmegpC4b8FWCUn7M%26dib_tag%3Dse%26keywords%3Dhats%26qid%3D1759275853%26sprefix%3Dha%252Caps%252C230%26sr%3D8-14-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
Mens Trucker Hat Structured Mesh Baseball Cap Adjustable Classic Mens Hat,$16.14 $ 16 . 14,False,True,/FURTALK-Trucker-Structured-Baseball-Adjustable/dp/B0DTDQZGMK/ref=sr_1_15?crid=3UD0HZDEGZ2PT&dib=eyJ2IjoiMSJ9.rsRuWNAZIB5bJy_6apC1D6fViCnWRiArbSkeDUxcunNRpYfEX2q__cT3x02aZFhXWIjPAUUVfrLxdpUcTZNh-4bj9A7jW-CNxDjtRnLzIaK3U623ZVoeyq_65dpvZm51SWudK4FhdhwOYxZijWk0NGFE6FJ3LByZBfMExzE-Hv2Jv7Z_iVka4NBH5ElG7tXe_OEM84M5WyNsPNZ9jrWR6_Lj-LfvyIlDgth2lKRf6GuqlJquu8l601mCKr85IFgqZT1gqLj5dY90tqHvwKv7wL6ihdmwWBX-fg9aM3K-qiQ.62hhOMs03pOBJCAqa00pasq8FWHYmegpC4b8FWCUn7M&dib_tag=se&keywords=hats&qid=1759275853&sprefix=ha%2Caps%2C230&sr=8-15
